<h3>所属団体での経験（100字以内）</h3>,<p>途中入部ながらも練習外で参考映像を見ることで競技をより理解し、筋トレの質を重視することで元からあった心肺能力に加えフィジカルが強みになり、スタメンとして試合出場し勝利に貢献しました。</p>
<h3>長所短所（250字以内）</h3>,<p>長所は目標を達成する力と継続力であると考えている。私は高校では◯大合格を目標として3年計画で努力し現役合格し、大学では途中入部ながら部活でのスタメンを目指し週6で練習週4で筋トレをし、4年時にスタメンを獲得した。また、国際性をさらに身につけるために短期留学をした。共通するのは常に目標を持ち達成する力と、そのために継続的に努力する力であり、これらが私の長所である。一度決めたことに対して他の意見を頂いても素直に取り入れない頑固な点が短所であるが、一度落ち着き別視点も含め俯瞰することで全体像が見えることも多いと気づき改善に努めている。</p>
<h3>部門の志望動機</h3>,<p>私が証券部門に応募した理由は2つあり、日本にいながら世界中の人と関われるマーケットに関われるからと、一緒に働く人が多様な価値観を持っていると考えられるからだ。1つ目に関しては、あらゆるニュースに影響されるマーケットに興味を抱いていて、仕事でも関わっていきたい。2つ目については、様々な国籍・価値観を持った人と過ごしていると常に刺激を与えられ、視野が広がる。証券部門では様々な顧客や同僚の中で働けるので、自分はそのような環境で仕事をしたい。</p>
<h3>各質問項目で注意した点</h3>,<p>どの質問も結論ファーストで端的に書くように意識した。</p>
<h3>参考にした書籍・WEBサイト</h3>,<p>one career</p>
<h3>あなたの短所と長所</h3>,<p>私の長所はポジティブな所です。大きな失敗をおかし、気分が落ち込むようなことがあっても、すぐに気持ちを切り替え、次に向けて前向きになれます。一方で、私の短所は計画性に欠けている所です。</p>
<h3>各質問項目で注意した点</h3>,<p>長所をアピールしようとした</p>
<h3>所属団体での経験（100字以内）</h3>,<p>途中入部ながらも練習外で参考映像を見ることで競技をより理解し、筋トレの質を重視することで元からあった心肺能力に加えフィジカルが強みになり、スタメンとして試合出場し勝利に貢献しました。</p>
<h3>長所短所（250字以内）</h3>,<p>長所は目標を達成する力と継続力であると考えている。私は高校では◯◯合格を目標として3年計画で努力し現役合格し、大学では途中入部ながら部活でのスタメンを目指し週6で練習週4で筋トレをし、4年時にスタメンを獲得した。また、国際性をさらに身につけるために短期留学をした。共通するのは常に目標を持ち達成する力と、そのために継続的に努力する力であり、これらが私の長所である。一度決めたことに対して他の意見を頂いても素直に取り入れない頑固な点が短所であるが、一度落ち着き別視点も含め俯瞰することで全体像が見えることも多いと気づき改善に努めている。</p>
<h3>部門の志望動機</h3>,<p>私が証券部門に応募した理由は2つあり、日本にいながら世界中の人と関われるマーケットに関われるからと、一緒に働く人が多様な価値観を持っていると考えられるからです。1つ目に関しては、私は昔からニュースを見るのが好きでしたが、金融だけでなく、あらゆるニュースが世界中の人々の気持ちを変え、それらが反映されるマーケットに興味を抱いていて、仕事でも関わっていきたいと思います。2つ目については、私は幼少期に海外で育ち、学年で唯一の日本人であることが多かったです。孤立することはなく、むしろ多種多様な友達ができ、毎日が充実していました。様々な国籍・価値観を持った人と過ごしていると常に刺激を与えられ、視野が広がるだけでなく、協力することでお互い別々ではできなかったことができるようになります。証券部門では様々な顧客や同僚の中で働けるので、自分はそのような環境で仕事をしたいと考えています。</p>
<h3>各質問項目で注意した点</h3>,<p>結論ファーストで、簡潔に論理的に書くことを意識した。</p>
<h3>参考にした書籍・WEBサイト</h3>,<p>one career</p>
<h3>あなたの長所・短所をご記入ください。</h3>,<p>私の長所は未知の分野でも抵抗を感じないで挑戦できることで、短所は長期間にわたって同じことへの従事を退屈だと感じてしまうことです。元来様々な事象に興味があり、加えて新しいことへの挑戦は自分を高めることに繋がると考えているので初めての分野でも臆さず挑戦できます。そのおかげで人よりも広い視野を持てました。一方で常に新しいことを求めているので一つのことを突き詰めるのは苦手で、すぐに目移りしてしまいます。</p>
<h3>所属団体での経験をご記入ください。</h3>,<p>渉外として活動し、他大学と合同で◯◯を主催しました。組織運営では、役職を超えてサークルが団体として機能するための組織形成、ならびに部員の帰属意識を高めてコミットメントを引き出すことに貢献しました</p>
